Rating;Problem Name;Problem Link;Submission
1400;Robert Hood and Mrs Hood;https://codeforces.com/contest/2014/problem/D;https://codeforces.com/contest/2014/submission/284354290
1100;Robin Hood in Town;https://codeforces.com/contest/2014/problem/C;https://codeforces.com/contest/2014/submission/284351683
800;Robin Hood and the Major Oak;https://codeforces.com/contest/2014/problem/B;https://codeforces.com/contest/2014/submission/284350371
800;Robin Helps;https://codeforces.com/contest/2014/problem/A;https://codeforces.com/contest/2014/submission/284349721
1800;Lazy Narek;https://codeforces.com/contest/2005/problem/C;https://codeforces.com/contest/2005/submission/281234425
1000;The Strict Teacher (Easy Version);https://codeforces.com/contest/2005/problem/B1;https://codeforces.com/contest/2005/submission/281194443
1200;The Strict Teacher (Hard Version);https://codeforces.com/contest/2005/problem/B2;https://codeforces.com/contest/2005/submission/281194253
900;Simple Palindrome;https://codeforces.com/contest/2005/problem/A;https://codeforces.com/contest/2005/submission/281177097
1400;Sakurako's Box;https://codeforces.com/contest/2008/problem/F;https://codeforces.com/contest/2008/submission/279186401
1500;Alternating String;https://codeforces.com/contest/2008/problem/E;https://codeforces.com/contest/2008/submission/279180000
1100;Sakurako's Hobby;https://codeforces.com/contest/2008/problem/D;https://codeforces.com/contest/2008/submission/279134989
800;Longest Good Array;https://codeforces.com/contest/2008/problem/C;https://codeforces.com/contest/2008/submission/279091066
800;Square or Not;https://codeforces.com/contest/2008/problem/B;https://codeforces.com/contest/2008/submission/279085293
800;Sakurako's Exam;https://codeforces.com/contest/2008/problem/A;https://codeforces.com/contest/2008/submission/279070065
2100;Inverse Coloring;https://codeforces.com/contest/1027/problem/E;https://codeforces.com/contest/1027/submission/278716176
1800;Queries for Number of Palindromes;https://codeforces.com/contest/245/problem/H;https://codeforces.com/contest/245/submission/278711586
1100;Splitting Items;https://codeforces.com/contest/2004/problem/C;https://codeforces.com/contest/2004/submission/278454690
1000;Game with Doors;https://codeforces.com/contest/2004/problem/B;https://codeforces.com/contest/2004/submission/278454294
800;Closest Point;https://codeforces.com/contest/2004/problem/A;https://codeforces.com/contest/2004/submission/278453639
1500;Turtle and a MEX Problem (Easy Version);https://codeforces.com/contest/2003/problem/D1;https://codeforces.com/contest/2003/submission/278120520
1200;Turtle and Good Pairs;https://codeforces.com/contest/2003/problem/C;https://codeforces.com/contest/2003/submission/278077170
800;Turtle and Piggy Are Playing a Game 2;https://codeforces.com/contest/2003/problem/B;https://codeforces.com/contest/2003/submission/278065805
800;Turtle and Good Strings;https://codeforces.com/contest/2003/problem/A;https://codeforces.com/contest/2003/submission/278057901
1400;Photoshoot for Gorillas;https://codeforces.com/contest/2000/problem/E;https://codeforces.com/contest/2000/submission/276970210
1200;Right Left Wrong;https://codeforces.com/contest/2000/problem/D;https://codeforces.com/contest/2000/submission/276967466
1000;Numeric String Template;https://codeforces.com/contest/2000/problem/C;https://codeforces.com/contest/2000/submission/276965729
800;Seating in a Bus;https://codeforces.com/contest/2000/problem/B;https://codeforces.com/contest/2000/submission/276964410
800;Primary Task;https://codeforces.com/contest/2000/problem/A;https://codeforces.com/contest/2000/submission/276963853
1400;Light Switches;https://codeforces.com/contest/1993/problem/C;https://codeforces.com/contest/1993/submission/276012927
1100;Parity and Sum;https://codeforces.com/contest/1993/problem/B;https://codeforces.com/contest/1993/submission/276010095
800;Question Marks;https://codeforces.com/contest/1993/problem/A;https://codeforces.com/contest/1993/submission/276008458
2100;Determine Winning Islands in Race;https://codeforces.com/contest/1998/problem/D;https://codeforces.com/contest/1998/submission/275987790
1200;Black Circles;https://codeforces.com/contest/2002/problem/C;https://codeforces.com/contest/2002/submission/275808532
1000;Removals Game;https://codeforces.com/contest/2002/problem/B;https://codeforces.com/contest/2002/submission/275791712
800;Distanced Coloring;https://codeforces.com/contest/2002/problem/A;https://codeforces.com/contest/2002/submission/275755521
2200;Magic Numbers;https://codeforces.com/contest/628/problem/D;https://codeforces.com/contest/628/submission/275665871
1900;Perform Operations to Maximize Score;https://codeforces.com/contest/1998/problem/C;https://codeforces.com/contest/1998/submission/275663068
1000;Minimize Equal Sum Subarrays;https://codeforces.com/contest/1998/problem/B;https://codeforces.com/contest/1998/submission/275580646
800;Find K Distinct Points with Fixed Center;https://codeforces.com/contest/1998/problem/A;https://codeforces.com/contest/1998/submission/275572342
1400;Anonymous Informant;https://codeforces.com/contest/1893/problem/A;https://codeforces.com/contest/1893/submission/275464482
